Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C2, C8, ",9,10u,603,C19702
"C3, C5, C6, C7, ",12,100n,402,C1525
"C4, ",3,1u,402,C52923
"C9, C10, C11, ",9,10n,402,C15195
"C12, ",3,33n,402,C1585
"C13, C14, ",6,12p,402,C1547
"C15, ",3,1p5,402,C1552
"C16, ",3,1p,402,C1550
"C17, ",3,2n2,402,C1531
"C18, ",3,4p7,402,C1569
"D1, ",3,GR,603,C72043
"D2, ",3,YE,603,C72038
"F1, ",3,100mA,1206,C70068
"FB1, ",3,100 @ 100MHz,805,C1015
"L1, ",3,3n9,402,C14033
"L2, ",3,8n2,402,C16208
"L3, ",3,2n7,402,C27123
"R1, ",3,10k,402,C25744
"R2, R3, ",6,2k2,603,C4190
"R4, ",3,22k,402,C25768
"R5, ",3,1M,402,C26083
"U1, ",3,XC6206P332MR,SOT-23,C5446
"U2, ",3,USBLC6-2SC6,SOT-23-6,C7519
"U3, ",3,STM32L432KBU6,UFQFPN-32_EP_5.0x5.0x0.5P,C94784
"U4, ",3,nRF24L01P,QFN-20_EP_4.0x4.0x0.5P,C8791
"Y1, ",3,16MHz,SMD-3225_4P,C13738
