Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C2, C8, ",3,10u,0603,C19702
"C3, C5, C6, C7, ",4,100n,0402,C1525
"C4, ",1,1u,0402,C52923
"C9, C10, C11, ",3,10n,0402,C15195
"C12, ",1,33n,0402,C1585
"C13, C14, ",2,12p,0402,C1547
"C15, ",1,1p5,0402,C1552
"C16, ",1,1p,0402,C1550
"C17, ",1,2n2,0402,C1531
"C18, ",1,4p7,0402,C1569
"D1, ",1,GR,0603,C72043
"D2, ",1,YE,0603,C72038
"F1, ",1,100mA,1206,
"FB1, ",1,100 @ 100MHz,0805,C1015
"L1, ",1,3n9,0402,C14033
"L2, ",1,8n2,0402,C16208
"L3, ",1,2n7,0402,C27123
"R1, ",1,10k,0402,C25744
"R2, R3, ",2,2k2,0603,C4190
"R4, ",1,22k,0402,C25768
"R5, ",1,1M,0402,C26083
"U1, ",1,XC6206P332MR,SOT-23,C5446
"U2, ",1,USBLC6-2SC6,SOT-23-6,C7519
"U3, ",1,STM32L432KBU6,UFQFPN-32_EP_5.0x5.0x0.5P,C94784
"U4, ",1,nRF24L01P,QFN-20_EP_4.0x4.0x0.5P,C8791
"Y1, ",1,16MHz,SMD-3225_4P,C13738
